batch, team,         name,     type,   url
552,   galaxy,       prod,     api,    https://galaxyfinder-mptzkkztqq-ew.a.run.app/
552,   galaxy,       prod,     web,    https://galaxyfinder.herokuapp.com/
552,   galaxy,       team,     pres,   https://docs.google.com/presentation/d/12ZzQD536DbshE3aQlF-IFxz87U6rzv5K6AtN8sX-b6s/edit#slide=id.p
552,   galaxy,       old,      api,    https://star-wars-mptzkkztqq-ew.a.run.app/
552,   galaxy,       old,      web,    https://galaxystreamlit.herokuapp.com/
552,   galaxy,       alice,    api,    https://hamster-ev6iq3m3na-ew.a.run.app/
552,   mood,         prod,     web,    https://backinthessr.herokuapp.com/
552,   mood,         team,     repo,   https://github.com/Celine-Guan/backinthessr
552,   mood,         team,     pres,   https://www.beautiful.ai/player/-MV24QxAFeopoDM7Ou0Z
552,   facemask,     prod,     web,    https://pierrebrgit.github.io/facemask/html/
552,   openff,       prod,     api,    https://apioff-kdwmcasooa-ew.a.run.app/
552,   openff,       prod,     web,    http://35.195.223.137/
552,   openff,       team,     repo,   https://github.com/ramsyy0/OpenFoodFacts
552,   openff,       team,     org,    https://trello.com/b/5v1xeI5O/conduite-de-projet
552,   gameone,      prod,     api,    https://batch-552-game-one-p275zsri5a-ew.a.run.app/user_pred_games
552,   gameone,      prod,     web,    https://gameclan.herokuapp.com/
552,   gameone,      team,     repo,   https://github.com/Agnes-Lain/game_one
552,   gameone,      team,     pres,   https://docs.google.com/presentation/d/1gIVLU4UgwkpiqmDUfhKZP6CNQwkQVPcMmfcj22-HIr4/edit#slide=id.gc2dd740e03_1_21
552,   bling,        team,     status, none
552,   coin,         team,     status, none
589,   bird,         prod,     api,    https://birdsapi-kkxhmnngqq-ew.a.run.app/
589,   bird,         prod,     web,    https://birdz.herokuapp.com/
589,   bird,         team,     org,    https://www.notion.so/BIRDS-b3e4428cc4734cdead13ec44cb053179
589,   bird,         team,     pres,   https://docs.google.com/presentation/d/1qk5HYTs9cd96ocoCjfx-I8Z_p6DZLo1VV1_35B9fZs0/edit
589,   bird,         repo,     back,   git@github.com:charlottesuaud/birds.git
589,   bird,         repo,     front,  git@github.com:benoitdb/birds-frontend.git
589,   exchange,     repo,     git,    https://github.com/pblclrd/forex_predictor.git
589,   exchange,     team,     pres,   https://docs.google.com/presentation/d/1E8ykKi2s9XY9c1iRrvceeH0KiZzWaPGas2I3pXw0d_k/edit#slide=id.gd7cc591da7_2_30
589,   forest,       prod,     web,    https://forest-guard.herokuapp.com/
589,   forest,       team,     org,    https://trello.com/b/qXRqVQEO/deep-forest
589,   forest,       repo,     git,    https://github.com/TheChwal/forest_guard
589,   forest,       train,    mlflow, https://mlflow.lewagon.co/#/experiments/12572
589,   opinion,      prod,     web,    http://nyt-project.xyz/
589,   opinion,      repo,     git,    https://github.com/ayayeuru/public_op
589,   opinion,      team,     org,    https://trello.com/b/Bnp0y1QH/public-opinion
589,   speaker,      team,     pres,   https://www.canva.com/design/DAEgPJp9LFY/ncmGrNVugwyOyEvQL_kx9w/edit#
589,   speaker,      repo,     git,    https://github.com/dev-loic/meetings-speaker-diarization
589,   g_2048,       team,     org,    https://www.notion.so/Year-2048-project-3c9b70bf65b749dc9e25a76c018bd7fc
589,   g_2048,       repo,     git,    https://github.com/Valentin-Laurent/Year-2048
589,   yoga,         prod,     api,    https://yogassist-74idkiljaq-ew.a.run.app/
589,   yoga,         prod,     web,    https://peppy-primacy-309809.web.app/
589,   yoga,         repo,     front,  https://github.com/ylg619/yogassist-vue-app
589,   yoga,         repo,     back,   https://github.com/ylg619/yogAssist
553,   wakeup,       team,     pres,   https://docs.google.com/presentation/d/1uHcXQr_ljTQM3A0Xa2qBU6bgQPREgSGiCoW4OSdPjvg/edit?ts=60d6f1f9#slide=id.p
553,   onemorebox,   team,     pres,   https://www.beautiful.ai/-Mcohh4dNaroTQ0bLLz7/1
553,   onemorebox,   prod,     web,    https://onemorebox-wonder.herokuapp.com/
553,   tresboncoin,  team,     pres,   https://www.beautiful.ai/-McofeEdn8lxAzkFMe_B/1
553,   tresboncoin,  team,     repo,   https://github.com/alobko/tresboncoin_extension
655,   neuralart,    prod,     api,    https://neural-art-ympziugdca-nw.a.run.app/
655,   neuralart,    prod,     web,    https://neural-art-app.herokuapp.com/
655,   neuralart,    prod,     web,    http://neural-art.com/
655,   pix2pix,      prod,     api,    https://pix2pix-dttdfzxwga-ew.a.run.app/
655,   pix2pix,      prod,     web,    https://yeswegan.herokuapp.com/
655,   resto,        prod,     api,    https://resto-project-655-6q5sgolchq-ew.a.run.app/
655,   resto,        prod,     web,    https://resto-project-655-front.herokuapp.com/
655,   resto,        prod,     pres,   https://docs.google.com/presentation/d/1fZeseU-i9xarUNIl24P5IduPXHA4uJu7/edit?usp=sharing&ouid=115357335785077098946&rtpof=true&sd=true
655,   romaingary,   prod,     api,    https://apiamd64-ywkwoqtfqq-ew.a.run.app/
655,   romaingary,   prod,     web,    https://author-style.herokuapp.com/
655,   romaingary,   prod,     pres,   https://www.beautiful.ai/player/-Mia3EHXUCQ9gidAix1P
655,   soccertrade,  prod,     web,    https://soccer-trade.herokuapp.com/
655,   soccertrade,  prod,     pres,   https://docs.google.com/presentation/d/1566RZfNWZc3rRh03ZIa0pFU0hu8XaD6wrANQdc-DwSQ/edit?usp=sharing
655,   woo,          prod,     pres,   https://docs.google.com/presentation/d/1X-wKwih6uc--Qtj6xtfDar6BQDhO4S9APFGlV7Md-OY/edit#
